iter	R2	RMSE
0	0.08297148134	0.6229397107
1	0.1552876353	0.5978731108
2	0.2231893983	0.5733399021
3	0.2850968819	0.5500196325
4	0.3385611211	0.5290533336
5	0.3887015746	0.5086057133
6	0.4329365265	0.4898582569
7	0.4738373838	0.4718615501
8	0.5101477893	0.4552889732
9	0.5457660265	0.4384240832
10	0.5761710811	0.423496562
11	0.6051628344	0.4087554993
12	0.6314946853	0.3948903071
13	0.6559174549	0.3815802752
14	0.67824353	0.3689930958
15	0.698091605	0.3574309789
16	0.7162351117	0.3465244831
17	0.732713443	0.3363126122
18	0.7465080001	0.32751917
19	0.7599042137	0.3187475571
20	0.7719385847	0.3106565418
21	0.7833231807	0.3028034519
22	0.7937150037	0.2954530086
23	0.8028162684	0.2888618155
24	0.8113746096	0.2825235611
25	0.8191892347	0.2766092748
26	0.8264040437	0.2710343891
27	0.8326489245	0.2661146904
28	0.8386654983	0.2612872523
29	0.8439282903	0.2569902755
30	0.8487973293	0.2529497922
31	0.8534650974	0.2490147863
32	0.8577295747	0.2453646032
33	0.861410865	0.2421693566
34	0.86496632	0.2390427892
35	0.8682098466	0.2361544195
36	0.8713556408	0.2333189266
37	0.8737755606	0.2311140357
38	0.8761427487	0.2289366453
39	0.8783206646	0.2269148981
40	0.8804315641	0.2249380211
41	0.8823651493	0.2231118302
42	0.8840641751	0.2214947435
43	0.8857516015	0.2198769259
44	0.8872777988	0.2184033655
45	0.8884224654	0.2172916193
46	0.8898079609	0.2159383138
47	0.8909232288	0.2148427648
48	0.8920158003	0.2137640666
49	0.8929778451	0.2128097108
50	0.8938134036	0.2119773439
51	0.8947278941	0.2110625843
52	0.8954773695	0.2103099215
53	0.8961179542	0.209664471
54	0.8968438003	0.2089307018
55	0.897377566	0.2083894611
56	0.8979706318	0.2077864363
57	0.8984330787	0.2073150067
58	0.8988684419	0.2068702052
59	0.8993801706	0.2063461567
60	0.8997852329	0.205930397
61	0.9002686816	0.2054330793
62	0.9007474141	0.204939424
63	0.901089041	0.2045864197
64	0.9014471064	0.2042157745
65	0.9018064389	0.2038431403
66	0.9020862665	0.2035524815
67	0.902362325	0.2032653305
68	0.9026716998	0.2029430417
69	0.9029670922	0.2026348405
70	0.9032398168	0.2023498733
71	0.9035208478	0.2020558064
72	0.9037764943	0.2017879292
73	0.9039862598	0.2015678623
74	0.9042866986	0.2012522498
75	0.9045158752	0.2010111655
76	0.9047604915	0.2007535198
77	0.9049407956	0.2005634001
78	0.9050427464	0.2004558193
79	0.905239442	0.2002480984
80	0.9053538286	0.200127201
81	0.9054765625	0.1999973998
82	0.9056273266	0.1998378391
83	0.905872032	0.1995785843
84	0.9060313018	0.1994096637
85	0.9061893649	0.1992418814
86	0.9063703974	0.1990495435
87	0.9065086515	0.1989025302
88	0.9065676438	0.1988397674
89	0.90678731	0.1986058866
90	0.9069335569	0.1984500231
91	0.9070592115	0.1983160082
92	0.9071734192	0.1981941232
93	0.9072643594	0.1980970162
94	0.9073826928	0.197970587
95	0.9075789299	0.1977607462
96	0.9078050024	0.1975187254
97	0.9079713291	0.1973404757
98	0.9080673004	0.1972375515
99	0.9082189501	0.1970748054
